Country,Calories_gap,insec
ASIA, 304 ,30.77737814
Commonwealth of Independent States, 244 ,
Armenia, 189 ,26.1987001
Azerbaijan, 170 ,13.8084772
Georgia, 234 ,4.796503988
Kyrgyzstan, 263 ,4.252118072
Moldova, 243 ,10.7625524
Tajikistan, 442 ,18.25260794
Turkmenistan, 212 ,24.2880187
Uzbekistan, 195 ,53.63058816
Central and Southern Asia, 315 ,7.600571295
Afghanistan, 397 ,5.856991695
Bangladesh, 300 ,27.7479621
India, 289 ,58.9461108
Nepal, 255 ,25.66404151
Pakistan, 389 ,25.7638867
Sri Lanka, 258 ,13.61358277
Other Asia, 457 ,38.0581691
"Korea, Democratic People's Republic of", 446 ,19.37289088
Mongolia, 295 ,71.87920538
Yemen, 631 ,63.12159476
South East Asia, 296 ,21.60321583
Cambodia, 292 ,84.59212573
Indonesia, 281 ,16.95858584
Laos, 294 ,20.81361786
Philippines, 347 ,15.69034031
Viet Nam, 263 ,30.46902741
LATIN AMERICA AND THE CARIBBEAN, 345 ,25.01198692
South America, 290 ,9.72894648
Bolivia, 343 ,25.55196995
Colombia, 260 ,21.83156924
Ecuador, 264 ,44.96449129
Peru, 295 ,12.63058318
Central America and the Caribbean, 376 ,27.7326941
Dominican Republic, 227 ,24.368302
El Salvador, 290 ,31.96461765
Guatemala, 356 ,11.15884966
Haiti, 753 ,22.88095224
Honduras, 341 ,29.80419486
Jamaica, 235 ,65.19924259
Nicaragua, 428 ,25.90125658
NORTH AFRICA, 280 ,15.58428669
Algeria, 282 ,39.58530349
Egypt, 331 ,14.46042079
Morocco, 266 ,11.82225666
Tunisia, 242 ,18.85791816
SUB-SAHARAN AFRICA, 444 ,7.400050042
Central Africa, 538 ,6.022559756
Cameroon, 303 ,44.89332712
Central African Republic, 555 ,68.8330818
"Congo, Republic of the", 402 ,21.11842949
"Congo, Democratic Republic of the", 892 ,73.92911438
East Africa, 487 ,56.73572597
Burundi, 580 ,82.11579682
Chad, 607 ,46.33517686
Eritrea, 442 ,79.28929731
Ethiopia, 318 ,67.02920664
Kenya, 372 ,62.46552948
Rwanda, 413 ,34.02412796
Somalia, 727 ,46.02578374
Sudan, 390 ,41.78987964
Tanzania, 495 ,84.04098497
Uganda, 522 ,38.32382505
Southern Africa, 471 ,42.36514299
Angola, 443 ,59.16501871
Lesotho, 364 ,58.82238119
Madagascar, 493 ,50.89548483
Malawi, 405 ,40.7421249
Mozambique, 519 ,66.46423487
Namibia, 323 ,39.46643088
Eswatini, 308 ,58.68070838
Zambia, 697 ,42.8833432
Zimbabwe, 685 ,31.1357833
West Africa, 379 ,71.72989545
Benin, 319 ,83.21964109
Guinea-Bissau, 422 ,30.0623982
Burkina Faso, 456 ,20.28999184
Cabo Verde, 338 ,52.0873738
 Côte d'Ivoire , 420 ,30.08924786
Gambia, 298 ,36.6082752
Ghana, 249 ,24.4746293
Guinea, 356 ,22.54836304
Liberia, 619 ,8.633853268
Mali, 329 ,22.64321688
Mauritania, 316 ,59.02269257
Niger, 456 ,20.45854899
Nigeria, 351 ,19.64003125
Senegal, 278 ,38.5423525
Sierra Leone, 497 ,33.93575046
Togo, 356 ,22.51402139
,,45.02988166
,,35.49910873
